Operator,TotalFlaredGas_MCf
Prima Exploration,11438
PetroShale,462262
Whiting Petroleum,15334127
Zavanna LLC,82626.75
Cobra Oil & Gas Corporation,null
Devon Energy,5740183.050003001
Missouri River Royalty Corporation,353429
"White Butte Oil Operations, LLC",1243184
ConocoPhillips,17121081.369993005
Sinclair,1214260
Petro-Hunt LLC,6200644.50999089
North Range Resources,108770
"SHD Oil and Gas, LLC",1396983
Marathon Oil,9295049
Iron Oil,135295
ExxonMobil,19423717
Bowline Energy,3402406
Enerplus Corporation,12448998
Oasis Petroleum,39095962.65013291
EOG Resources,1483567
True Oil Company,9145
Hess,33821076.93046401
Grayson Mill Energy,6266626
Continental Resources,14706949
Ovintiv,7020329.309999998
Abraxas Petroleum,2624237
