Reported Operator,UniqueOperatorCount
BURLINGTON RESOURCES OIL & GAS COMPANY LP,220
"NORTH RANGE RESOURCES, LLC",1
QEP ENERGY COMPANY,195
XTO ENERGY INC,249
ENERPLUS RESOURCES USA CORPORATION,91
PETROSHALE (US) INC.,1
"Prima Exploration, Inc.",1
"IRON OIL OPERATING, LLC",5
Cobra Oil & Gas Corporation,1
SINCLAIR OIL & GAS COMPANY,7
"WHITE BUTTE OIL OPERATIONS, LLC",4
TRUE OIL LLC,2
"SHD OIL & GAS, LLC",15
"ZAVANNA, LLC",1
"CONTINENTAL RESOURCES, INC.",208
ABRAXAS PETROLEUM CORP.,30
"HESS BAKKEN INVESTMENTS II, LLC",244
Bowline Energy LLC,81
"PETRO-HUNT, L.L.C.",45
Ovintiv Production Inc.,117
"Grayson Mill Operating, LLC",75
"EOG RESOURCES, INC.",17
OASIS PETROLEUM NORTH AMERICA LLC,225
"MISSOURI RIVER RESOURCES ND, LLC",4
"PETRO-HUNT DAKOTA, LLC",39
"WPX ENERGY WILLISTON, LLC",41
MARATHON OIL COMPANY,28
WHITING OIL AND GAS CORPORATION,186
