Shale Plays,Month,OilAndGasGroup,Total Production,Rank
"Bakken Shale, US",10,O,61532074.40400112,1
"Bakken Shale, US",12,O,61042167.41074297,2
"Bakken Shale, US",11,O,60055143.60331207,3
"Bakken Shale, US",3,O,59782363.09053805,4
"Bakken Shale, US",1,O,58976542.21259706,5
"Bakken Shale, US",7,O,58717539.60378804,6
"Bakken Shale, US",8,O,58264203.36475801,7
"Bakken Shale, US",5,O,57761364.756580025,8
"Bakken Shale, US",4,O,56886913.643488005,9
"Bakken Shale, US",9,O,56056882.369051024,10
"Bakken Shale, US",6,O,55576253.46773297,11
"Bakken Shale, US",2,O,53328249.15125397,12
"Bakken Shale, US",10,G,27626059.39383853,13
"Bakken Shale, US",12,G,27321307.315049827,14
"Bakken Shale, US",11,G,26931244.670309316,15
"Bakken Shale, US",3,G,26899423.48346211,16
"Bakken Shale, US",7,G,26614157.634773098,17
"Bakken Shale, US",8,G,26610056.569062915,18
"Bakken Shale, US",5,G,26456441.2961192,19
"Bakken Shale, US",4,G,26017706.468397968,20
"Bakken Shale, US",1,G,25624234.721441656,21
"Bakken Shale, US",9,G,25509694.855350763,22
"Bakken Shale, US",6,G,25473928.24153254,23
"Bakken Shale, US",2,G,23770693.795377877,24
Not shale play,7,O,11035.75103,25
Not shale play,5,O,10878.801059999998,26
Not shale play,9,O,10257.32593,27
Not shale play,4,O,10173.92303,28
Not shale play,6,O,9893.87201,29
Not shale play,11,O,9653.19799,30
Not shale play,8,O,9596.10601,31
Not shale play,10,O,9373.73199,32
Not shale play,3,O,9331.44902,33
Not shale play,2,O,8695.42402,34
Not shale play,12,O,8491.64697,35
Not shale play,1,O,7818.09199,36
Not shale play,5,G,2547.66666,37
Not shale play,6,G,2028.4999579999999,38
Not shale play,4,G,1842.1666599999999,39
Not shale play,3,G,1608.16667,40
Not shale play,9,G,1602.499978,41
Not shale play,1,G,1527.66663,42
Not shale play,8,G,1521.8333079999998,43
Not shale play,10,G,1335.6666679999998,44
Not shale play,12,G,1311.3333360000001,45
Not shale play,7,G,1187.999998,46
Not shale play,11,G,1150.66667,47
Not shale play,2,G,958.1666700000001,48
"North Dakota (Other), US",5,O,739,49
"North Dakota (Other), US",6,O,506,50
"North Dakota (Other), US",7,O,425,51
"North Dakota (Other), US",4,O,129,52
"North Dakota (Other), US",5,G,60,53
"North Dakota (Other), US",6,G,33.4999995,54
"North Dakota (Other), US",7,G,18.166666499999998,55
"North Dakota (Other), US",4,G,2.8333333,56
"North Dakota (Other), US",9,O,1,57
